bioblitz-2016 (1)
Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Identification Notes,Data Resource Name,Sighting Date,Latitude,Longitude,Location,geopoint
Mollusc,ANIMALIA,MOLLUSCA,,,,,,,,Participate Melbourne,2016-03-02,-37.8298,144.9002,,"-37.8298, 144.9002"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-20,-37.8185,144.9748,,"-37.8185, 144.9748"
Annelid,ANIMALIA,ANNELIDA,OLIGOCHAETA,,,,,,Earthworm,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Annelid,ANIMALIA,ANNELIDA,OLIGOCHAETA,,,,,,Freshwater Oligochaete Worm,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Amphibian,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Litoria,,,Tiny Frog,Participate Melbourne,2016-03-16,-37.8204,145.2496,,"-37.8204, 145.2496"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,,,,,,Mite,Bowerbird,2016-04-12,-37.8107,144.9546,,"-37.8107, 144.9546"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-20,-37.7908,144.9634,,"-37.7908, 144.9634"
Plant,PLANTAE,,,,,,,,Understorey Species,Participate Melbourne,2016-04-12,-37.8107,144.9546,,"-37.8107, 144.9546"
Plant,PLANTAE,,,,,,,,Tree,Participate Melbourne,2016-04-12,-37.8116,144.9559,,"-37.8116, 144.9559"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,AMARYLLIDACEAE,Amaryllidaceae,,,,Bowerbird,2016-03-04,-37.7969,144.9595,,"-37.7969, 144.9595"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,MYRTALES,MYRTACEAE,Corymbia,ficifolia,Red Flowering Gum,,Bowerbird,2016-04-15,-37.7886,144.9667,,"-37.7886, 144.9667"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,MYRTALES,MYRTACEAE,Eucalyptus,leucoxylon,Yellow Gum,,Bowerbird,2016-04-15,-37.7882,144.9677,,"-37.7882, 144.9677"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ASPARAGACEAE,Yucca,,,Yucca,Bowerbird,2016-04-15,-37.79,144.9679,,"-37.79, 144.9679"
Plant,PLANTAE,,,,,,,,,Bowerbird,2016-04-15,-37.7913,144.968,,"-37.7913, 144.968"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,SOLANALES,,,,,,Bowerbird,2016-03-31,-37.8186,144.971,,"-37.8186, 144.971"
Plant,PLANTAE,,,,,,,,Plant 1,Handwritten,2016-04-01,-37.819,144.974,,"-37.819, 144.974"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,FABALES,FABACEAE,Acacia,mearnsii,Black Wattle,,Handwritten,2016-04-15,-37.789,144.967,,"-37.789, 144.967"
Plant,PLANTAE,,,,,,,,,Handwritten,2016-04-15,-37.789,144.967,,"-37.789, 144.967"
Amphibian,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Litoria,ewingii,"Brown Tree Frog, Southern Brown Tree Frog",,Handwritten,2016-03-05,-37.797,144.959,,"-37.797, 144.959"
Annelid,ANIMALIA,ANNELIDA,POLYCHAETA,SABELLIDA,SABELLIDAE,Sabella,spallanzanii,European Fan Worm,,Participate Melbourne,2016-03-02,-25.2744,133.7751,,"-25.2744, 133.7751"
Annelid,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,EUNICIDAE,Eunice,laticeps,Bristle Worm,,Participate Melbourne,2016-03-02,-37.8419,144.9143,,"-37.8419, 144.9143"
Annelid,ANIMALIA,ARTHROPODA,ARACHNIDA,,,,,,White Tail Spider,Participate Melbourne,2016-03-07,-37.7637,144.9805,,"-37.7637, 144.9805"
Annelid,ANIMALIA,ANNELIDA,CLITELLATA,HIRUDINEA,,,,,Leech,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Annelid,ANIMALIA,ANNELIDA,CLITELLATA,HIRUDINEA,,,,,Leech,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Annelid,ANIMALIA,ANNELIDA,NEMERTINEA,HETERONEMERTEA,CEREBRATULIDAE,Quasilineus,lucidoculatus,Nemertean Worm,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Annelid,ANIMALIA,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEREIDIDAE,Nereis,triangularis,Rag Worm,,Bowerbird,2016-02-24,-37.8303,144.8999,,"-37.8303, 144.8999"
Annelid,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,Lumbrineris,,,Lumbrinerid Worm,Bowerbird,2016-02-24,-37.8303,144.9001,,"-37.8303, 144.9001"
Annelid,ANIMALIA,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,PHYLLODOCIDAE,Eulalia,,,Phyllodocid Worm,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Annelid,ANIMALIA,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEREIDIDAE,Platynereis,,,Nereid Worm,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,CORINNIDAE,Nyssus,,,Spider,Bowerbird,2016-03-12,-37.8107,144.9355,,"-37.8107, 144.9355"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,,,,,Spider,Participate Melbourne,2016-03-07,-37.7824,144.9433,,"-37.7824, 144.9433"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SALTICIDAE,Opisthoncus,polyphemus,Cyclops Jumping Spider,,Bowerbird,2016-03-14,-37.8101,144.9548,,"-37.8101, 144.9548"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SALTICIDAE,Helpis,minitabunda,"Threatening Jumping Spider, Bronze Jumping Spider",,Bowerbird,2016-03-14,-37.8102,144.9549,,"-37.8102, 144.9549"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,ULOBORIDAE,Uloborus,,,Hackled Orbweaver,Bowerbird,2016-03-14,-37.8104,144.9553,,"-37.8104, 144.9553"
