Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location,Land Type_x,Land Type_y
2002,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),Explorers Inn,10-22 Spencer Street MELBOURNE 3000,50,144.95525416628,-37.8205106888151,"-37.82051068881513, 144.95525416628004",Commercial,Commercial
2002,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Connells Tavern,35 Elizabeth Street MELBOURNE 3000,350,144.964321660097,-37.8174261066713,"-37.81742610667125, 144.964321660097",Commercial,Commercial
2002,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),De Biers,"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.96530699086,-37.8172419402346,"-37.81724194023457, 144.96530699086",Commercial,Commercial
2002,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Adelphi Hotel,187 Flinders Lane MELBOURNE 3000,80,144.968384600452,-37.8163597440011,"-37.81635974400108, 144.9683846004515",Commercial,Commercial
2002,17,103925,103925,121-123 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Velour,"Unit 1, Gnd & Bmt , 121 Flinders Lane MELBOURNE 3000",350,144.970522963712,-37.8156736463807,"-37.815673646380745, 144.97052296371248",Commercial,Commercial
2002,33,105937,105937,435-443 Little Collins Street MELBOURNE 3000,Melbourne (CBD),The Kitchen Restaurant,"LwrGround , 25 Little Collins Street MELBOURNE 3000",200,144.96010676157,-37.8163970705112,"-37.816397070511165, 144.96010676156988",Commercial,Commercial
2002,35,102143,102143,258-274 Collins Street MELBOURNE 3000,Melbourne (CBD),Australia On Collins Bar,"Shop 121, Basement , 260 Collins Street MELBOURNE 3000",11,144.964918578641,-37.8154150350132,"-37.81541503501324, 144.96491857864146",Commercial,Commercial
2002,37,102158,102158,86-88 Collins Street MELBOURNE 3000,Melbourne (CBD),Dr Martin's Tavern,86A Collins Street MELBOURNE 3000,291,144.970593784801,-37.8139380932959,"-37.8139380932959, 144.97059378480083",Commercial,Commercial
2002,42,105392,105392,120-138 King Street MELBOURNE 3000,Melbourne (CBD),The Exchange Hotel,"Part Ground , 120 King Street MELBOURNE 3000",300,144.956416790144,-37.8170338244197,"-37.81703382441968, 144.95641679014355",Commercial,Commercial
2002,43,108069,108069,131-141 Queen Street MELBOURNE 3000,Melbourne (CBD),The Turf Bar & Restaurant,"Unit 1, LwrGround , 131 Queen Street MELBOURNE 3000",400,144.960543028128,-37.8154967336266,"-37.815496733626624, 144.96054302812774",Commercial,Commercial
2002,48,101109,101109,39-43 Bourke Street MELBOURNE 3000,Melbourne (CBD),Spleen Central,41 Bourke Street MELBOURNE 3000,100,144.97205520119,-37.8119370150575,"-37.81193701505745, 144.9720552011901",Commercial,Commercial
2002,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bridie O'Reillys,62-66 Little Collins Street MELBOURNE 3000,300,144.971451247518,-37.8128110760804,"-37.81281107608043, 144.97145124751802",Commercial,Commercial
2002,48,108983,108983,103-137 Spring Street MELBOURNE 3000,Melbourne (CBD),Hard Rock Cafe,1 Spring Street MELBOURNE 3000,500,144.972932971885,-37.81199590155511,"-37.811995901555065, 144.9729329718854",Commercial,Commercial
2002,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),Hollywood Karaoke Bar,"Level 1, 184-186 Bourke Street MELBOURNE 3000",150,144.967697189459,-37.812677389205696,"-37.812677389205746, 144.96769718945876",Commercial,Commercial
2002,58,101238,101238,2-8 Bourke Street MELBOURNE 3000,Melbourne (CBD),Imperial Hotel,2-8 Bourke Street MELBOURNE 3000,350,144.972685010345,-37.811202108695,"-37.81120210869503, 144.9726850103448",Commercial,Commercial
2002,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.95450051017,-37.8149064395787,"-37.81490643957871, 144.9545005101703",Commercial,Commercial
2002,64,104376,104376,14-20 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 A'Beckett Street MELBOURNE 3000,200,144.960741036939,-37.8132877098966,"-37.81328770989657, 144.96074103693925",Commercial,Commercial
2002,66,108550,108550,213-217 Russell Street MELBOURNE 3000,Melbourne (CBD),Enka Karaoke Bar,"Part Floor 1, 217 Russell Street MELBOURNE 3000",80,144.967245672572,-37.8115628227926,"-37.81156282279264, 144.96724567257206",Commercial,Commercial
2002,78,103618,103618,242-284 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Coopers Inn,"Shop 1, 242-284 Exhibition Street MELBOURNE 3000",400,144.969985004712,-37.809416385753906,"-37.809416385753934, 144.96998500471204",Commercial,Commercial
2002,78,110716,105763,42-44 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),44 Bar,42-44 Lonsdale Street MELBOURNE 3000,260,144.971074722117,-37.8091425217905,"-37.80914252179053, 144.971074722117",Commercial,Commercial
2002,84,105449,105449,293-299 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Duke of Kent Hotel,293-299 La Trobe Street MELBOURNE 3000,160,144.96051825517,-37.8108158573735,"-37.81081585737349, 144.9605182551698",Commercial,Commercial
